Group num: 0, TC(X;Y_j): 0.229
messenger, 0.009, 1.000, 0.009
hostility, 0.008, 1.000, 0.008
chief_man, 0.007, 1.000, 0.007
speed, 0.005, 1.000, 0.005
rest, 0.004, 1.000, 0.004
entertain, 0.004, 1.000, 0.004
great_pomp, 0.004, 1.000, 0.004
allow, 0.004, 1.000, 0.004
weather, 0.003, 1.000, 0.003
strength, 0.003, 1.000, 0.003
clergy_laity, 0.002, 1.000, 0.002
Group num: 9, TC(X;Y_j): 0.137
monk, 0.149, 1.000, 0.149
minster, 0.098, 1.000, 0.098
son, 0.036, 1.000, 0.036
clerk, 0.026, 1.000, 0.026
bishop, 0.025, 1.000, 0.025
speak, 0.024, 1.000, 0.024
saint, 0.023, 1.000, 0.023
monastery, 0.021, 1.000, 0.021
confirm, 0.020, 1.000, 0.020
service, 0.018, 1.000, 0.018
cross, 0.018, 1.000, 0.018
love, 0.017, 1.000, 0.017
concern, 0.016, 1.000, 0.016
consecration, 0.015, 1.000, 0.015
call, 0.014, 1.000, 0.014
abbot_monk, 0.011, 1.000, 0.011
mass_priest, 0.010, 1.000, 0.010
new_minster, 0.010, 1.000, 0.010
fen, 0.009, 1.000, 0.009
heavenly, 0.008, 1.000, 0.008
worship, 0.008, 1.000, 0.008
archbishopric, 0.007, 1.000, 0.007
perish, 0.005, 1.000, 0.005
government, 0.005, 1.000, 0.005
convert, 0.004, 1.000, 0.004
decreed, 0.004, 1.000, 0.004
Group num: 10, TC(X;Y_j): 0.085
die, 0.108, 1.000, 0.108
king, 0.071, 1.000, 0.071
brother, 0.041, 1.000, 0.041
pall, 0.038, 1.000, 0.038
body_lie, 0.022, 1.000, 0.022
bury, 0.021, 1.000, 0.021
pope, 0.020, 1.000, 0.020
nation, 0.020, 1.000, 0.020
holy, 0.019, 1.000, 0.019
betray, 0.016, 1.000, 0.016
gold_silver, 0.014, 1.000, 0.014
martyr, 0.012, 1.000, 0.012
wretched, 0.012, 1.000, 0.012
rood, 0.012, 1.000, 0.012
harvest, 0.011, 1.000, 0.011
defend, 0.010, 1.000, 0.010
archiepiscopal, 0.009, 1.000, 0.009
throw, 0.009, 1.000, 0.009
choose_pope, 0.007, 1.000, 0.007
advice, 0.007, 1.000, 0.007
property, 0.004, 1.000, 0.004
hallow, 0.003, 1.000, 0.003
Group num: 11, TC(X;Y_j): 0.046
church, 0.056, 1.000, 0.056
soul, 0.038, 1.000, 0.038
dead, 0.036, 1.000, 0.036
perform, 0.020, 1.000, 0.020
mother, 0.019, 1.000, 0.019
old_minster, 0.017, 1.000, 0.017
uncle, 0.016, 1.000, 0.016
dear, 0.015, 1.000, 0.015
bow, 0.013, 1.000, 0.013
man_remember, 0.013, 1.000, 0.013
great_famine, 0.013, 1.000, 0.013
pray, 0.013, 1.000, 0.013
honour, 0.012, 1.000, 0.012
bliss, 0.011, 1.000, 0.011
succeed_archbishopric, 0.011, 1.000, 0.011
assume_government, 0.008, 1.000, 0.008
decree, 0.006, 1.000, 0.006
assist, 0.005, 1.000, 0.005
war, 0.005, 1.000, 0.005
end_life, 0.004, 1.000, 0.004
subdue, 0.004, 1.000, 0.004
unjust, 0.003, 1.000, 0.003
engage, 0.003, 1.000, 0.003
Group num: 12, TC(X;Y_j): 0.046
hear, 0.043, 1.000, 0.043
reconcile, 0.029, 1.000, 0.029
evil, 0.024, 1.000, 0.024
folk, 0.024, 1.000, 0.024
land, 0.019, 1.000, 0.019
station, 0.019, 1.000, 0.019
heir, 0.016, 1.000, 0.016
servant, 0.016, 1.000, 0.016
join, 0.016, 1.000, 0.016
wist, 0.016, 1.000, 0.016
sell, 0.013, 1.000, 0.013
household, 0.011, 1.000, 0.011
work_castle, 0.009, 1.000, 0.009
settle, 0.008, 1.000, 0.008
glory, 0.007, 1.000, 0.007
heaven, 0.003, 1.000, 0.003
friend, 0.003, 1.000, 0.003
come_meet, 0.002, 1.000, 0.002
beg, 0.002, 1.000, 0.002
abandon, 0.002, 1.000, 0.002
unite, 0.001, 1.000, 0.001
Group num: 13, TC(X;Y_j): 0.035
burn, 0.082, 1.000, 0.082
gain, 0.033, 1.000, 0.033
put_flight, 0.033, 1.000, 0.033
flee, 0.018, 1.000, 0.018
weapon, 0.017, 1.000, 0.017
have_victory, 0.017, 1.000, 0.017
slaughter, 0.017, 1.000, 0.017
die_bury, 0.015, 1.000, 0.015
field_battle, 0.013, 1.000, 0.013
troop, 0.013, 1.000, 0.013
take_cattle, 0.011, 1.000, 0.011
victory, 0.008, 1.000, 0.008
knight, 0.008, 1.000, 0.008
subject, 0.007, 1.000, 0.007
deed, 0.006, 1.000, 0.006
pay, 0.006, 1.000, 0.006
sun_eclipse, 0.006, 1.000, 0.006
court, 0.005, 1.000, 0.005
mass, 0.003, 1.000, 0.003
Group num: 14, TC(X;Y_j): 0.075
council, 0.061, 1.000, 0.061
provision, 0.041, 1.000, 0.041
swear, 0.039, 1.000, 0.039
agree, 0.024, 1.000, 0.024
conduct, 0.023, 1.000, 0.023
abode, 0.022, 1.000, 0.022
give_castle, 0.020, 1.000, 0.020
offer, 0.020, 1.000, 0.020
star, 0.020, 1.000, 0.020
hold_court, 0.020, 1.000, 0.020
accept, 0.018, 1.000, 0.018
full_friendship, 0.018, 1.000, 0.018
consent, 0.015, 1.000, 0.015
territory, 0.013, 1.000, 0.013
tribute, 0.013, 1.000, 0.013
alm, 0.010, 1.000, 0.010
oath, 0.009, 1.000, 0.009
moon, 0.008, 1.000, 0.008
declare, 0.007, 1.000, 0.007
increase, 0.006, 1.000, 0.006
tribute_pay, 0.006, 1.000, 0.006
conspiracy, 0.005, 1.000, 0.005
