Group num: 0, TC(X;Y_j): 0.186
deal, 0.018, 1.000, 0.018
forsook, 0.016, 1.000, 0.016
abandon, 0.015, 1.000, 0.015
army_collect, 0.012, 1.000, 0.012
sit, 0.011, 1.000, 0.011
assemble, 0.011, 1.000, 0.011
naval_armament, 0.010, 1.000, 0.010
join, 0.009, 1.000, 0.009
naval_force, 0.008, 1.000, 0.008
navy, 0.008, 1.000, 0.008
conclude, 0.006, 1.000, 0.006
security, 0.006, 1.000, 0.006
flee, 0.006, 1.000, 0.006
naval, 0.006, 1.000, 0.006
weapon, 0.005, 1.000, 0.005
army_sit, 0.005, 1.000, 0.005
fortnight, 0.004, 1.000, 0.004
Group num: 9, TC(X;Y_j): 0.069
slay, 0.092, 1.000, 0.092
slew, 0.045, 1.000, 0.045
companion, 0.036, 1.000, 0.036
great_slaughter, 0.036, 1.000, 0.036
battle, 0.025, 1.000, 0.025
pirate, 0.022, 1.000, 0.022
gate, 0.015, 1.000, 0.015
townsman, 0.015, 1.000, 0.015
people_gather, 0.013, 1.000, 0.013
lead_army, 0.013, 1.000, 0.013
meat, 0.013, 1.000, 0.013
wall, 0.011, 1.000, 0.011
take_cattle, 0.011, 1.000, 0.011
master, 0.010, 1.000, 0.010
leader, 0.009, 1.000, 0.009
father, 0.007, 1.000, 0.007
rich_man, 0.007, 1.000, 0.007
conquer, 0.006, 1.000, 0.006
expel, 0.006, 1.000, 0.006
sun_eclipse, 0.006, 1.000, 0.006
noble, 0.006, 1.000, 0.006
desire, 0.006, 1.000, 0.006
rule, 0.005, 1.000, 0.005
Group num: 10, TC(X;Y_j): 0.057
succeed, 0.073, 1.000, 0.073
bishopric, 0.069, 1.000, 0.069
appoint, 0.045, 1.000, 0.045
succeed_kingdom, 0.027, 1.000, 0.027
resign, 0.021, 1.000, 0.021
decree, 0.020, 1.000, 0.020
consecrated, 0.019, 1.000, 0.019
ordain, 0.015, 1.000, 0.015
build, 0.014, 1.000, 0.014
command, 0.012, 1.000, 0.012
body, 0.011, 1.000, 0.011
commit, 0.010, 1.000, 0.010
give_hostage, 0.010, 1.000, 0.010
receive_baptism, 0.009, 1.000, 0.009
priest_succeed, 0.009, 1.000, 0.009
faith, 0.009, 1.000, 0.009
moon_eclipse, 0.009, 1.000, 0.009
claim, 0.009, 1.000, 0.009
betwixt, 0.007, 1.000, 0.007
wood, 0.005, 1.000, 0.005
undertake, 0.003, 1.000, 0.003
ground, 0.003, 1.000, 0.003
drag, 0.002, 1.000, 0.002
restore, 0.002, 1.000, 0.002
Group num: 11, TC(X;Y_j): 0.053
corn, 0.037, 1.000, 0.037
archbishopric, 0.032, 1.000, 0.032
kill, 0.032, 1.000, 0.032
fruit, 0.027, 1.000, 0.027
citizen, 0.024, 1.000, 0.024
decease, 0.023, 1.000, 0.023
law, 0.020, 1.000, 0.020
thane, 0.019, 1.000, 0.019
lose, 0.008, 1.000, 0.008
murrain_cattle, 0.007, 1.000, 0.007
plunder_burn, 0.007, 1.000, 0.007
