,0,1,feature_importance
129,north,24,0.0010926304634164183
130,obtain_victory,9,0.0018818109568613079
131,people,78,0.003448723952124119
132,place_call,12,0.002640495689530225
133,remain,39,0.0019945353485130816
134,royal,14,0.0015078331737075617
135,support,5,0.0004081343881368901
136,waste,5,0.0005097615279820054
137,spot_call,5,0.0022730603220311742
138,flee,15,0.0016436957997677962
139,nigh,21,0.0015481924103272226
140,side,40,0.0016061560502579806
141,thane,30,0.001440012385482137
142,fire,15,0.0020326102758427473
143,immense,12,0.0019713198222512133
144,flight,16,0.0018551619135458097
145,ship,88,0.0036681035983355047
146,slew,30,0.0022257428035081586
147,wood,12,0.0013320777181814113
148,succeed_kingdom,25,0.002809838069640949
149,besiege,5,0.0004487760688070724
150,leave,30,0.0016305895210988908
151,government,15,0.0022447405906393285
152,half,9,0.0014154684739597597
153,kingdom_hold,7,0.0015556737807939968
154,month,21,0.0028254126341930945
155,night,62,0.0036331972284393064
156,queen,16,0.0008789771840015715
157,receive_baptism,7,0.0012424660257865146
158,reign_half,5,0.001184041892489967
159,succeed_government,7,0.0015701408917648395
160,want,7,0.0006120333972503472
161,high,13,0.001441170568158475
162,rank,7,0.0006202720408353036
163,spot,11,0.0015539189942392678
164,abbot,38,0.0033081116061658734
165,father,35,0.002376735393259901
166,fight_put,9,0.0009766020875282676
167,give,99,0.004411701623811799
168,nephew,14,0.0018212488066698363
169,whole,16,0.0015381502880919798
170,day_calend,13,0.0025828244096019106
171,morning,16,0.0018458799089122217
172,sun_eclipse,7,0.0016184097359320242
173,calend,70,0.005353134538193951
174,full,36,0.00217945533803075
175,star,15,0.0014083037324131864
176,twelfth_day,5,0.0007874328953460672
177,bury,28,0.0020733531735317337
178,surround,6,0.0004083781893009671
179,put_flight,25,0.002041099147095736
180,receive,50,0.002338334462660422
181,thirtieth,5,0.001623546519534287
182,bishop,62,0.0037206132309860656
183,bishop_abbot,12,0.0011038614136033905
184,church,33,0.0021419538121259327
185,hallowed,5,0.00044383500186139576
186,mass_priest,6,0.0011216593436166082
187,monastery,25,0.0019724095388427027
188,northern,10,0.0013922467527064256
189,old,15,0.001457249561784363
190,teach,5,0.000837259752636927
191,alderman,26,0.002315988197565741
192,pursue,7,0.0017552523978027407
193,town,47,0.0026940851237646324
194,booty,10,0.0012634044006459221
195,great_slaughter,15,0.0012446309772530645
196,english_people,6,0.0006121305998145802
197,word,12,0.0008054013248240424
198,companion,13,0.0011092885519556517
199,conquer,5,0.0013474516465752406
200,either,20,0.0013673718424019393
201,assist,9,0.0019127064541711925
202,learn,10,0.0008500364055737624
203,pall,23,0.0018267657950509768
204,lead_army,9,0.0012341209906837236
205,thither,5,0.0014900372382857753
206,band,5,0.0008478761643774352
207,enemy,30,0.0014678088758484044
