,0,1,feature_importance,vocab
476,drown,6,0.000505724,x
200,conquer,5,0.000505172,x
590,hunger,10,0.000422997,x
666,pomp,6,0.000422455,x
150,besiege,5,0.000339295,x
61,suffer,20,0.0002545,x
96,arise,10,0.0002545,x
116,noble,11,0.0002545,x
520,return_homeward,5,0.000254471,x
533,fortnight,5,0.000254471,x
576,conduct,6,0.000254471,x
31,episcopal,7,0.000254468,x
280,love,12,0.000254468,x
356,allow,7,0.000254468,x
628,weapon,8,0.000254458,x
633,loss,5,0.000254458,x
298,counsel,18,0.000254445,x
598,cattle,17,0.000254445,x
459,seize,20,0.000254438,x
578,messenger,8,0.000254438,x
727,unite,6,0.000254438,x
750,earthquake,6,0.000254438,x
764,earldom_father,5,0.000254438,x
109,establish,6,0.000254435,x
387,large_army,11,0.000254435,x
710,knight,8,0.000254435,x
277,friend,12,0.000254382,x
302,dwell,9,0.000254382,x
506,join,5,0.000254382,x
618,decreed,5,0.000254382,x
664,buy,7,0.000254382,x
747,remember,5,0.000254382,x
186,hallowed,5,0.000254379,x
310,gold_silver,20,0.000254379,x
683,peace_make,5,0.000254379,x
711,naval,6,0.000254379,x
184,bishop_abbot,12,0.000254369,x
264,ravage,11,0.000254369,x
309,gift,7,0.000254369,x
464,mark,5,0.000254369,x
617,conclude,7,0.000254369,x
629,dear,6,0.000254369,x
767,choose_pope,8,0.000254369,x
354,destruction,5,0,x
385,blood,8,0,x
435,deed,16,0,x
439,gate,6,0,x
498,victory,5,0,x
509,disperse,6,0,x
535,main_army,6,0,x
540,troop,5,0,x
551,oath,13,0,x
592,meat,6,0,x
596,take_cattle,5,0,x
613,fall,22,0,x
626,deal,5,0,x
637,army_collect,8,0,x
656,drag,6,0,x
662,law,11,0,x
715,treachery,8,0,x
718,sink,5,0,x
749,refuse,5,0,x
754,give_abbacy,8,0,x
760,work_castle,5,0,x
769,crown,5,0,x
770,guild,7,0,x
779,great_worship,5,0,x
